study_name,run_name,started_at,finished_at,status,dataset,dataset_loader,model_provider,llm_model,llm_model_name,embedding_model,embedding_model_name,retriever_type,num_masks,retriever_k,gamma,index_size,eval_size,member_samples,non_member_samples,auc,accuracy,precision,recall,f1,retrieval_recall,runtime_seconds,failure_reason,config_repr
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.30-idx500-eval50-seed42,2026-03-30 15:41:15,2026-03-30 15:47:12,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.3,500,50,50,50,0.9962000000000001,0.67,0.6024096385542169,1.0,0.7518796992481203,1.0,356.2982,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 15:47:12,2026-03-30 15:53:14,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9965999999999999,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,362.1096,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.70-idx500-eval50-seed42,2026-03-30 15:53:14,2026-03-30 15:58:55,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.7,500,50,50,50,0.9964,0.98,0.9615384615384616,1.0,0.9803921568627451,1.0,340.7608,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_gamma,ablation_gamma-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.90-idx500-eval50-seed42,2026-03-30 15:58:55,2026-03-30 16:05:15,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.9,500,50,50,50,0.9976,0.89,1.0,0.78,0.8764044943820225,1.0,379.7507,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k1-g0.50-idx500-eval50-seed42,2026-03-30 16:05:16,2026-03-30 16:11:42,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,1,0.5,500,50,50,50,1.0,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,386.1808,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=1, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k3-g0.50-idx500-eval50-seed42,2026-03-30 16:11:42,2026-03-30 16:18:22,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,3,0.5,500,50,50,50,0.996,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,398.9982,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=3, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:18:22,2026-03-30 16:24:44,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9984,0.86,0.78125,1.0,0.8771929824561403,1.0,382.5153,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_depth,ablation_retrieval_depth-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k10-g0.50-idx500-eval50-seed42,2026-03-30 16:24:44,2026-03-30 16:31:51,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,10,0.5,500,50,50,50,0.9928,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,426.3063,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=10, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:31:52,2026-03-30 16:38:04,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9954000000000001,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,372.0215,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-faiss-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:38:04,2026-03-30 16:43:58,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,faiss,10,5,0.5,500,50,50,50,0.9946,0.84,0.7575757575757576,1.0,0.8620689655172413,1.0,353.2175,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:43:58,2026-03-30 16:50:20,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,bm25,10,5,0.5,500,50,50,50,0.995,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,381.9214,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
ablation_retrieval_stack,ablation_retrieval_stack-healthcaremagic-gpt-4o-mini-bm25-all-minilm-l6-v2-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:50:20,2026-03-30 16:56:07,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,all-minilm-l6-v2,sentence-transformers/all-MiniLM-L6-v2,bm25,10,5,0.5,500,50,50,50,0.9938,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,346.5756,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=all-minilm-l6-v2, Ret=bm25, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 16:56:07,2026-03-30 17:01:44,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9966,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,336.387,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-healthcaremagic-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:01:44,2026-03-30 17:10:02,success,healthcaremagic,healthcaremagic,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.998,0.95,0.9090909090909091,1.0,0.9523809523809523,1.0,497.8839,,"Config(LLM=llama3, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:10:02,2026-03-30 17:16:07,success,msmarco,msmarco,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9838,0.73,0.6493506493506493,1.0,0.7874015748031497,1.0,352.2942,,"Config(LLM=gpt-4o-mini, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-msmarco-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:16:07,2026-03-30 17:23:31,success,msmarco,msmarco,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9652000000000001,0.86,0.78125,1.0,0.8771929824561403,1.0,443.8403,,"Config(LLM=llama3, Data=msmarco, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:23:31,2026-03-30 17:29:37,success,nq,nq,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9848,0.73,0.6493506493506493,1.0,0.7874015748031497,1.0,346.4234,,"Config(LLM=gpt-4o-mini, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-nq-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:29:37,2026-03-30 17:37:58,success,nq,nq,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9916,0.95,0.9245283018867925,0.98,0.9514563106796117,1.0,500.3182,,"Config(LLM=llama3, Data=nq, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:37:58,2026-03-30 17:44:06,success,fiqa,fiqa,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9992,0.89,0.819672131147541,1.0,0.9009009009009009,1.0,365.9063,,"Config(LLM=gpt-4o-mini, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-fiqa-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:44:06,2026-03-30 17:51:51,success,fiqa,fiqa,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9826,0.98,1.0,0.96,0.9795918367346939,1.0,464.1005,,"Config(LLM=llama3, Data=fiqa, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:51:51,2026-03-30 17:57:41,success,arxiv,arxiv,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9890000000000001,0.94,0.8928571428571429,1.0,0.9433962264150944,1.0,345.4042,,"Config(LLM=gpt-4o-mini, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
robustness_cross_dataset,robustness_cross_dataset-arxiv-llama3-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 17:57:41,2026-03-30 18:05:42,success,arxiv,arxiv,ollama,llama3,llama3,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9935999999999999,0.97,0.9433962264150944,1.0,0.970873786407767,1.0,480.977,,"Config(LLM=llama3, Data=arxiv, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed42,2026-03-30 18:05:48,2026-03-30 18:12:06,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9962000000000001,0.85,0.7692307692307693,1.0,0.8695652173913043,1.0,377.5201,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx500-eval50-seed1337,2026-03-30 18:12:06,2026-03-30 18:18:32,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,500,50,50,50,0.9887999999999999,0.92,0.8620689655172413,1.0,0.9259259259259259,1.0,381.836,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=500, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed42,2026-03-30 18:18:32,2026-03-30 18:24:23,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.9968,0.88,0.8064516129032258,1.0,0.8928571428571429,1.0,346.7919,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
optional_scale_study,optional_scale_study-healthcaremagic-gpt-4o-mini-faiss-bge-small-en-v1.5-m10-k5-g0.50-idx2000-eval50-seed1337,2026-03-30 18:24:23,2026-03-30 18:30:37,success,healthcaremagic,healthcaremagic,openai,gpt-4o-mini,gpt-4o-mini,bge-small-en-v1.5,BAAI/bge-small-en-v1.5,faiss,10,5,0.5,2000,50,50,50,0.9802,0.87,0.7936507936507936,1.0,0.8849557522123894,1.0,369.675,,"Config(LLM=gpt-4o-mini, Data=healthcaremagic, Emb=bge-small-en-v1.5, Ret=faiss, M=10, K=5, Idx=2000, Eval=50)"
